code,name,name_en,lat,lon,type,country
38531,连云港,Lianyungang,34.610303,119.158251,station,cr
18968,盐城,Yancheng,33.383739,120.169190,station,cr
17370,海安,Hai'an,32.549268,120.500330,station,cr
17364,扬州,Yangzhou,32.391623,119.345396,station,cr
17334,扬州东,Yangzhou E.,32.406570,119.523948,station,cr
32252,杭州,Hangzhou,30.246198,120.177326,station,cr
32001,杭州东,Hangzhou E.,30.293964,120.207892,station,cr
32460,杭州南,Hangzhou S.,30.174535,120.288713,station,cr
66279,杭州西,Hangzhou W.,30.300426,119.982130,station,cr
33185,绍兴,Shaoxing,30.016435,120.574742,station,cr
33187,绍兴北,Shaoxing N.,30.102819,120.532994,station,cr
32501,诸暨,Zhuji,29.730065,120.181038,station,cr
33284,宁波,Ningbo,29.865233,121.532402,station,cr
33990,温州南,Wenzhou S.,27.969313,120.581208,station,cr
32537,义乌,Yiwu,29.380372,120.038677,station,cr
21011,横店,Hengdian,29.217579,120.260177,station,cr
31854,湖州,Huzhou,30.864274,120.019428,station,cr
32028,湖州南浔,Huzhou Nanxun,30.829534,120.402696,station,cr
32138,嘉兴,Jiaxing,30.766969,120.758817,station,cr
32013,嘉兴南,Jiaxing S.,30.693215,120.794937,station,cr
32159,海宁,Haining,30.535639,120.680671,station,cr
32621,衢州,Quzhou,28.927599,118.876167,station,cr
19423,合肥南,Hefei S.,31.800958,117.284759,station,cr
34130,黄山北,Huangshan N.,29.818051,118.267618,station,cr
35927,黟县东,Yixian E.,29.887332,118.042367,station,cr
30926,芜湖,Wuhu,31.350149,118.387385,station,cr
30928,芜湖南,Wuhu S.,31.250829,118.373327,station,cr
31015,池州,Chizhou,30.622132,117.516126,station,cr
34682,福州,Fuzhou,26.117167,119.315415,station,cr
34151,福州南,Fuzhou S.,25.988279,119.385601,station,cr
34583,厦门,Xiamen,24.470209,118.111225,station,cr
34178,厦门北,Xiamen N.,24.638772,118.069030,station,cr
34169,泉州,Quanzhou,24.976173,118.563221,station,cr
35067,漳州,Zhangzhou,24.460352,117.711826,station,cr
23711,广州东,Guangzhou E.,23.152877,113.319977,station,cr
65848,广州南,Guangzhou S.,22.991077,113.261758,station,cr
23471,广州北,"Guangzhou N,",23.379972,113.198418,station,cr
23475,广州白云,Guangzhou Baiyun,23.193938,113.241036,station,cr
23738,广州新塘,Guangzhou Xintang,23.136824,113.601130,station,cr
Q06,花都,Huadu,23.379797,113.197517,station,gi
Q11,清城,Qingcheng,23.656003,113.061023,station,gi
D04,琶洲,Pazhou,23.102843,113.362706,station,gi
D13,白云机场北,Baiyun Airport N.,23.398986,113.300541,station,gi
H07,东莞西,Dongguan W.,23.010870,113.620906,station,gi
H09,西平西,Xiping W.,22.996362,113.740570,station,gi
S23,深圳机场,Shenzhen Airport,22.623983,113.806032,station,gi
Z04,顺德北,Shunde N.,22.964447,113.124193,station,gi
Z05,张槎,Zhangcha,23.011695,113.062200,station,gi
65860,深圳北,Shenzhen N.,22.609954,114.023289,station,cr
23819,深圳,Shenzhen,22.535525,114.112668,station,cr
65891,福田,Futian,22.540890,114.051891,station,cr
23757,东莞,Dongguan,23.092445,113.854212,station,cr
25851,惠阳,Huiyang,22.787649,114.487586,station,cr
24568,佛山西,Foshan W.,23.082342,113.028258,station,cr
65896,香港西九龙,HongKong West Kowloon,22.303882,114.165443,station,cr
36428,南宁,Nanning,22.829139,108.311523,station,cr
36452,南宁东,Nanning E.,22.845280,108.409606,station,cr
36433,吴圩机场,Wuxu Airport,22.602692,108.182960,station,cr
36437,崇左南,Chongzuo S.,22.359854,107.390852,station,cr
3ba9bb5d,玉林北,Yulin N.,22.724276,110.245228,station,cr
37148,玉林,Yulin,22.599788,110.153209,station,cr
37376,金城江,Jinchengjiang,24.701790,108.061382,station,cr
47516,河池西,Hechi W.,24.714364,108.171197,station,cr
51444,美兰,Meilan Airport,19.943528,110.456955,station,cr
51450,城西,Chengxi,19.998119,110.327690,station,cr
51447,海口东,Haikou E.,19.985488,110.338834,station,cr
51481,三亚,Sanya,18.297786,109.488980,station,cr
51480,崖州,Yazhou,18.377690,109.153496,station,cr
51682,凤凰机场,Fenghuang Airport,18.310561,109.404688,station,cr
25424,南昌,Nanchang,28.665071,115.913113,station,cr
65643,新余北,Xinyu N.,27.914737,114.891878,station,cr
33023,分宜,Fenyi,27.809323,114.658631,station,cr
65646,宜春,Yichun,27.792421,114.431339,station,cr
22874,长沙,Changsha,28.197434,113.007695,station,cr
65818,长沙南,Changsha S.,28.149430,113.058156,station,cr
65207,谷山,Gushan,28.233342,112.902291,station,cr
65213,开福寺,Kaifusi,28.226739,112.974665,station,cr
35312,湘潭,Xiangtan,27.878918,112.906942,station,cr
65660,湘潭北,Xiangtan N.,27.968399,112.936745,station,cr
65609,凤凰古城,Fenghuang Ancient Town,28.020293,109.598798,station,cr
65800,武汉,Wuhan,30.609370,114.419997,station,cr
21050,汉口,Hankou,30.620301,114.250053,station,cr
21077,武昌,Wuchang,30.532770,114.311764,station,cr
45195,宜昌北,Yichang N.,30.748088,111.469488,station,cr
20750,郑州,Zhengzhou,34.746928,113.652007,station,cr
65773,郑州东,Zhengzhou E.,34.760065,113.773225,station,cr
38774,开封,Kaifeng,34.771678,114.348279,station,cr
39173,洛阳,Luoyang,34.686405,112.430106,station,cr
22531,安阳东,Anyang E.,36.084740,114.447441,station,cr
38402,焦作,Jiaozuo,35.222383,113.228550,station,cr
44114,济源,Jiyuan,35.110954,112.568272,station,cr
39053,洛阳龙门,Luoyang Longmen,34.595597,112.454376,station,cr
26447,太原,Taiyuan,37.859785,112.581228,station,cr
35143,重庆北,Chongqing N.,29.612607,106.547387,station,cr
