name,name_en
杭深线（杭州南-深圳北）,Hangzhou-Shenzhen Railway
杭温高速线（桐庐东-义乌）,Hangzhou-Wenzhou Highspeed Railway
杭温高速线（横店-温州北）,Hangzhou-Wenzhou Highspeed Railway
桐庐联络线,Link Line
榆红线（榆树屯-红旗营）,Link Line
武九线（九里垄-九江西）,Wuhan-Jiujiang Railway
武九线（何刘-九里垄）,Wuhan-Jiujiang Railway
武昌南环线,Wuchang Loop Railway
永嘉联络线,Link Line
汉西联络线,Line Line
池黄高速线（池州-黄山北）,Chizhou-Huangshan Highspeed Railway
沈佳高速线（敦化南-长白山）,Shenyang-Jiamusi Highspeed Railway
沈大线（大连北-大连）,Shenyang-Dalian Railway
沈大高速线（沈阳北-大连北）,Shenyang-Dalian Highspeed Railway
沪宁城际线（上海-南京）,Shanghai-Nanjing Intercity Railway
沪宁沿江高速线（武进-太仓）,Shanghai-Nanjing Riverside Highspeed Railway
沪昆线（封浜-龙里）,Shanghai-Kunming Railway
沪昆高速线（上海虹桥-新余北）,Shanghai-Kunming Highspeed Railway
沪昆高速线（贵阳北-昆明南）,Shanghai-Kunming Highspeed Railway
沪昆高速线（长沙南-湘潭北）,Shanghai-Kunming Highspeed Railway
沪苏湖高速线（上海虹桥-湖州）,Shanghai-Suzhou-Huzhou Highspeed Railway
沪苏通线（南通西-黄渡-上海虹桥）,Shanghai-Suzhou-Nantong Railway
津兴城际（盛芳-固安东）,Tianjin-PKX Intercity Railway
津秦高速线（天津西-秦皇岛）,Tianjin-Qinhuangdao Highspeed Railway
津秦高速线（秦皇岛-龙家营）,Tianjin-Qinhuangdao Highspeed Railway
津蓟线,Tianjin-Jizhou Railway
津霸线（天津西-霸州西）,Tianjin-Bazhou Railway
济青高速线（济南东-青岛北）,Jinan-Qingdao Highspeed Railway
渝贵线（贵阳-贵阳北）,Chongqing-Guiyang Railway
湘桂线（柳州-黎塘）,Hunan-Guangxi Railway
滇藏线（丽江-香格里拉）,Yunnan-Xizang Railway
滨北线（哈尔滨东-呼兰）,Harbin-Bei'an Railway
滨洲线（哈尔滨-海拉尔）,Harbin-Manzhouli Railway
滨绥线（新香坊-牡丹江）,Harbin-Suifenhe Railway
滨绥线（牡丹江-绥芬河）,Harbin-Suifenhe Railway
牙林线（牙克石-伊图里河）,Yakeshi-Mangui Railway
甬广高速线（福州南-厦门北）,Ningbo-Guangzhou Highspeed Railway
盐通高速线（盐城-南通西）,Yancheng-Nantong Highspeed Railway
石太客运专线（石家庄北-太原南）,Shijiazhuang-Taiyuan Passenger Railway
石家庄西北环线（柳辛庄-石家庄北）,Link Line
石济客运专线（陵县所-济南东）,Shijiazhuang-Jinan Passenger Railway
秦双联络线（秦祺村所-双龙南）,Link Line
笕杭线,Link Line
笕桥线,Link Line
胶济客运专线（济南-青岛北）,Qingdao-Jinan Passenger Railway
花广联络线（广州白云-广州北）,Link Line
萧甬线（杭州南-绍兴）,Xiaoshan-Ningbo Railway
虹安联络线（上海虹桥-安亭北所）,Link Line
衢九线（衢州-九江）,Quzhou-Jiujiang Railway
西成高速线（广汉北-成都东）,Xi'an-Chengdu Highspeed Railway
西长线（北京西-长辛店）,Beijing W. Link Line
贵南高速线（河池西-南宁东）,Guiyang-Nanning Highspeed Railway
贵阳环线（白云北-双龙南）,Guiyang Loop Railway
辛泰线（南博山-泰山）,Linzi-Taishan Railway
近铁奈良线（奈良-近铁日本桥）,Kintetsu Nara Line
连镇高速线（连云港-丹徒）,Lianyungang-Zhenjiang Highspeed Railway
通燕联络线（高辛庄所-北刘各庄所）,Link Line
郑开城际线（郑州东-开封）,Zhengzhou-Kaifeng Intercity Railway
镇江联络线,Link Line
长株潭城际线（谷山-湘潭）,Changsha-Zhuzhou-Xiangtan Intercity Railway
长珲城际线（杨家粉坊所-敦化）,Changchun-Hunchun Intercity Railway
阪急宝塚线（大阪梅田-庄内）,Hankyu Takarazuka Line
阪神本线（阪神三宫-阪神尼崎）,Hanshin Railway
阪神难波线（阪神尼崎-西九条）,Hanshin Railway Namba Line
陇海线（徐州-兰州）,Lanzhou-Lianyungang Railway
霸徐线（白洋淀-霸州西）,Bazhou-Xushui Railway
青三联络线（青白江东-三星堆）,Link Line
青盐线（连云港-董集）,Qingdao-Yancheng Railway
青藏线（西宁-拉萨）,Qinghai-Xizang Railway
鹰厦线（前场-厦门）,Yingtan-Xiamen Railway
黎湛线（黎塘-玉林）,Litang-Zhanjiang Railway
黔桂线（金城江-柳州）,Guizhou-Guangxi Railway
齐北线（齐齐哈尔-富裕）,Qiqihar-Fuyu Railway
张吉怀高速线,Zhangjiajie-Jishou-Huaihua Highspeed Railway
张家界西联络线,Link Line
沪昆高速线（宜春-怀化南）,Shanghai-Kunming Highspeed Railway
渝厦高速线,Chongqing-Xiamen Highspeed Railway
龙怀联络线,Link Line
宁杭高速线（南京南-杭州东）,Nanjing-Hangzhou Highspeed Railway
海南东环高速线（城西-三亚）,Hainan East Ring Highspeed Railway
海南西环线,Hainan West Ring Railway
海南西环高速线（崖州-三亚）,Hainan West Ring Highspeed Railway
金温线（塘雅线路所-温州南）,Jinhua-Wenzhou Railway
